Time, X, Y, Z
2024-09-18T16:19:14.840908, -0.021026611328125, -0.027130126953125, -0.9998016357421875
2024-09-18T16:19:18.871649, -0.0209808349609375, -0.0276947021484375, -1.0009002685546875
2024-09-18T16:19:32.873824, -0.0205078125, -0.0269622802734375, -0.9998779296875
2024-09-18T16:19:50.272459, -0.021820068359375, -0.0274200439453125, -0.999908447265625
2024-09-18T16:19:53.292776, -0.021728515625, -0.0270843505859375, -0.999725341796875
2024-09-18T16:19:56.320035, -0.020599365234375, -0.027069091796875, -0.99981689453125
2024-09-18T16:20:14.902366, -0.0220794677734375, -0.0283355712890625, -0.9989013671875
2024-09-18T16:20:17.929742, -0.021453857421875, -0.027252197265625, -0.99951171875
2024-09-18T16:20:20.951048, -0.0210418701171875, -0.0272216796875, -0.9990692138671875
2024-09-18T16:21:06.484984, -0.0215301513671875, -0.02850341796875, -1.0
2024-09-18T16:21:09.534272, -0.0207061767578125, -0.027618408203125, -0.9994354248046875
2024-09-18T16:21:12.534448, -0.02178955078125, -0.0279693603515625, -0.9998626708984375
2024-09-18T16:21:20.162604, -0.022247314453125, -0.02874755859375, -0.9983673095703125
2024-09-18T16:21:23.194798, -0.02178955078125, -0.028106689453125, -1.0015106201171875
2024-09-18T16:21:26.215879, -0.021636962890625, -0.02734375, -0.9986572265625
2024-09-18T16:21:33.484160, -0.0218963623046875, -0.0276641845703125, -0.999542236328125
2024-09-18T16:21:36.518636, -0.022369384765625, -0.0271453857421875, -0.9984130859375
2024-09-18T16:21:39.527439, -0.0196990966796875, -0.0276336669921875, -0.9996795654296875
2024-09-18T16:21:57.953303, -0.020355224609375, -0.027923583984375, -1.00006103515625
2024-09-18T16:22:00.968589, -0.021820068359375, -0.0274505615234375, -1.0001220703125
2024-09-18T16:22:03.986715, -0.022613525390625, -0.027801513671875, -1.0003662109375
2024-09-18T16:22:21.440280, -0.021881103515625, -0.0263671875, -0.997650146484375
2024-09-18T16:22:24.466605, -0.0209197998046875, -0.0275115966796875, -1.0012664794921875
2024-09-18T16:22:27.471943, -0.0227203369140625, -0.027191162109375, -0.9995880126953125
2024-09-18T16:22:31.510007, -0.022247314453125, -0.0274200439453125, -1.0009765625
2024-09-18T16:22:44.954783, -0.02349853515625, -0.0268707275390625, -0.9965972900390625
2024-09-18T16:22:48.982355, -0.021453857421875, -0.027740478515625, -0.9997100830078125
2024-09-18T16:22:51.991533, -0.020599365234375, -0.027801513671875, -0.999847412109375
2024-09-18T16:22:55.003066, -0.020721435546875, -0.0270538330078125, -1.00048828125
2024-09-18T16:22:58.020755, -0.021392822265625, -0.0278167724609375, -1.0016632080078125
2024-09-18T16:23:01.041965, -0.0196075439453125, -0.027374267578125, -0.9989166259765625
2024-09-18T16:23:04.076484, -0.021514892578125, -0.0269927978515625, -0.999755859375
2024-09-18T16:23:07.135990, -0.0227508544921875, -0.028350830078125, -0.9995574951171875
2024-09-18T16:23:10.147065, -0.021209716796875, -0.0276031494140625, -0.998779296875
2024-09-18T16:23:13.140278, -0.0210113525390625, -0.0279541015625, -1.00054931640625
