Timestamp,X,Y,Z
2024-08-15T12:51:21.474560,-0.0,-0.23,0.98
2024-08-15T12:51:26.475538,-0.01,-0.23,0.98
2024-08-15T12:51:31.479575,-0.0,-0.23,0.98
2024-08-15T12:51:36.482643,-0.0,-0.23,0.98
2024-08-15T12:51:41.486123,-0.0,-0.23,0.99
2024-08-15T12:51:46.487313,-0.0,-0.24,0.98
2024-08-15T12:51:51.488333,-0.0,-0.23,0.99
2024-08-15T12:51:56.491210,-0.0,-0.24,0.98
2024-08-15T12:52:01.493554,-0.0,-0.24,0.98
2024-08-15T12:52:06.495420,-0.0,-0.24,0.98
2024-08-15T12:52:11.497558,-0.01,-0.25,0.98
2024-08-15T12:52:16.499689,-0.0,-0.24,0.98
2024-08-15T12:52:21.502023,-0.0,-0.24,0.98
2024-08-15T12:52:26.504188,-0.01,-0.24,0.98
2024-08-15T12:52:31.505234,-0.0,-0.23,0.99
2024-08-15T12:52:36.507650,-0.08,-0.31,0.98
2024-08-15T12:52:41.510759,0.02,-0.31,0.97
2024-08-15T12:52:46.512169,0.02,-0.31,0.97
2024-08-15T12:52:51.505321,0.01,-0.31,0.97
2024-08-15T12:52:56.517392,0.01,-0.32,0.97
2024-08-15T12:53:01.517993,0.01,-0.31,0.97
2024-08-15T12:53:06.520610,0.01,-0.32,0.96
2024-08-15T12:53:11.522502,0.01,-0.31,0.96
2024-08-15T12:53:16.513529,0.01,-0.31,0.96
2024-08-15T12:53:21.521378,0.01,-0.32,0.96
2024-08-15T12:53:26.529178,0.01,-0.31,0.97
2024-08-15T12:53:31.531411,0.01,-0.31,0.96
2024-08-15T12:53:36.531330,0.01,-0.31,0.96
2024-08-15T12:53:41.534974,0.01,-0.31,0.97
2024-08-15T12:53:46.537670,0.01,-0.33,0.98
2024-08-15T12:53:51.538454,0.01,-0.31,0.97
2024-08-15T12:53:56.542392,0.01,-0.31,0.97
2024-08-15T12:54:01.545644,0.01,-0.31,0.97
2024-08-15T12:54:06.536863,0.01,-0.31,0.97
2024-08-15T12:54:11.537944,0.01,-0.32,0.97
2024-08-15T12:54:16.544365,0.01,-0.32,0.96
2024-08-15T12:54:21.551756,0.01,-0.32,0.96
2024-08-15T12:54:26.548201,0.01,-0.31,0.97
2024-08-15T12:54:31.558364,0.01,-0.31,0.97
2024-08-15T12:54:36.560381,0.01,-0.31,0.97
2024-08-15T12:54:41.554916,0.01,-0.31,0.97
2024-08-15T12:54:46.565226,0.01,-0.31,0.97
2024-08-15T12:54:51.553030,0.01,-0.31,0.97
2024-08-15T12:54:56.569108,0.01,-0.31,0.97
2024-08-15T12:55:01.569960,0.01,-0.32,0.96
2024-08-15T12:55:06.573635,0.01,-0.31,0.97
2024-08-15T12:55:11.573280,0.01,-0.31,0.97
2024-08-15T12:55:16.576913,0.01,-0.31,0.97
2024-08-15T12:55:21.578751,0.01,-0.31,0.96
2024-08-15T12:55:26.580695,0.01,-0.32,0.97
2024-08-15T12:55:31.569875,0.01,-0.31,0.97
2024-08-15T12:55:36.580281,0.01,-0.31,0.97
2024-08-15T12:55:41.582582,0.01,-0.31,0.97
2024-08-15T12:55:46.587984,0.01,-0.31,0.97
2024-08-15T12:55:51.580592,0.01,-0.31,0.97
2024-08-15T12:55:56.589499,0.01,-0.31,0.97
2024-08-15T12:56:01.596761,0.01,-0.31,0.97
2024-08-15T12:56:06.599336,0.01,-0.31,0.97
2024-08-15T12:56:11.601045,0.01,-0.32,0.96
2024-08-15T12:56:16.590753,0.01,-0.32,0.97
2024-08-15T12:56:21.604541,0.01,-0.32,0.96
2024-08-15T12:56:26.606957,0.01,-0.32,0.96
2024-08-15T12:56:31.609420,0.01,-0.32,0.96
2024-08-15T12:56:36.610280,0.01,-0.32,0.96
2024-08-15T12:56:41.614159,-0.74,-0.69,0.17
2024-08-15T12:56:46.615865,0.31,-0.57,0.93
2024-08-15T12:56:51.617871,-0.08,-0.62,1.18
2024-08-15T12:56:56.620488,0.04,-0.43,0.92
2024-08-15T12:57:01.622394,0.04,-0.45,0.91
2024-08-15T12:57:06.623652,0.03,-0.41,0.93
2024-08-15T12:57:11.627454,0.03,-0.41,0.93
2024-08-15T12:57:16.629640,0.03,-0.41,0.93
2024-08-15T12:57:21.627999,0.03,-0.41,0.93
2024-08-15T12:57:26.632817,0.02,-0.41,0.93
2024-08-15T12:57:31.629347,0.02,-0.41,0.93
2024-08-15T12:57:36.624451,0.02,-0.42,0.93
2024-08-15T12:57:41.628701,0.02,-0.41,0.93
2024-08-15T12:57:46.633519,0.02,-0.42,0.93
2024-08-15T12:57:51.638177,0.02,-0.42,0.93
2024-08-15T12:57:56.639390,0.02,-0.42,0.93
2024-08-15T12:58:01.647404,0.02,-0.42,0.93
2024-08-15T12:58:06.643866,0.02,-0.42,0.93
2024-08-15T12:58:11.652413,0.02,-0.41,0.93
2024-08-15T12:58:16.654547,0.02,-0.42,0.93
2024-08-15T12:58:21.648269,0.02,-0.42,0.93
2024-08-15T12:58:26.659837,0.02,-0.41,0.93
2024-08-15T12:58:31.652770,0.02,-0.41,0.93
2024-08-15T12:58:36.659190,0.02,-0.41,0.93
2024-08-15T12:58:41.654307,0.02,-0.41,0.93
2024-08-15T12:58:46.666387,0.02,-0.41,0.93
2024-08-15T12:58:51.656693,0.02,-0.42,0.93
2024-08-15T12:58:56.672899,0.02,-0.41,0.93
2024-08-15T12:59:01.666459,0.02,-0.41,0.93
2024-08-15T12:59:06.677821,0.02,-0.41,0.93
2024-08-15T12:59:11.666209,0.02,-0.41,0.93
2024-08-15T12:59:16.680259,0.02,-0.41,0.93
2024-08-15T12:59:21.683451,0.02,-0.41,0.93
2024-08-15T12:59:26.685823,0.02,-0.42,0.93
2024-08-15T12:59:31.686454,0.02,-0.42,0.93
2024-08-15T12:59:36.689292,0.02,-0.41,0.93
2024-08-15T12:59:41.687101,0.02,-0.4,0.93
2024-08-15T12:59:46.685113,0.02,-0.41,0.93
2024-08-15T12:59:51.696762,0.02,-0.42,0.93
2024-08-15T12:59:56.685167,0.02,-0.42,0.93
2024-08-15T13:00:01.698897,0.02,-0.42,0.93
2024-08-15T13:00:06.700433,0.02,-0.41,0.94
2024-08-15T13:00:11.695071,0.02,-0.41,0.93
2024-08-15T13:00:16.707314,0.02,-0.42,0.93
2024-08-15T13:00:21.709492,0.02,-0.41,0.93
2024-08-15T13:00:26.710018,0.02,-0.41,0.93
2024-08-15T13:00:31.713001,0.02,-0.41,0.93
2024-08-15T13:00:36.714464,0.02,-0.41,0.93
2024-08-15T13:00:41.717134,0.02,-0.42,0.93
2024-08-15T13:00:46.719247,0.02,-0.41,0.93
2024-08-15T13:00:51.721221,0.02,-0.42,0.93
2024-08-15T13:00:56.724857,0.02,-0.41,0.93
2024-08-15T13:01:01.713437,0.02,-0.41,0.93
2024-08-15T13:01:06.728488,0.02,-0.42,0.93
2024-08-15T13:01:11.731044,0.02,-0.41,0.93
2024-08-15T13:01:16.725802,0.02,-0.41,0.93
2024-08-15T13:01:21.721467,0.02,-0.41,0.93
2024-08-15T13:01:26.733382,0.02,-0.42,0.93
2024-08-15T13:01:31.737930,0.02,-0.41,0.93
2024-08-15T13:01:36.742104,0.02,-0.41,0.93
2024-08-15T13:01:41.742932,0.02,-0.41,0.93
2024-08-15T13:01:46.745277,0.02,-0.42,0.93
2024-08-15T13:01:51.747247,0.02,-0.41,0.93
2024-08-15T13:01:56.749323,0.02,-0.41,0.93
2024-08-15T13:02:01.752514,0.02,-0.41,0.93
2024-08-15T13:02:06.753719,0.02,-0.41,0.93
2024-08-15T13:02:11.755419,0.02,-0.41,0.93
2024-08-15T13:02:16.758041,0.02,-0.42,0.93
2024-08-15T13:02:21.759856,-0.01,-0.05,1.01
2024-08-15T13:02:26.762384,-0.01,-0.04,1.01
2024-08-15T13:02:31.766155,-0.01,-0.04,1.01
2024-08-15T13:02:36.766831,-0.01,-0.04,1.01
2024-08-15T13:02:41.769549,-0.01,-0.04,1.01
2024-08-15T13:02:46.771757,-0.01,-0.04,1.01
2024-08-15T13:02:51.773054,-0.01,-0.04,1.01
2024-08-15T13:02:56.775246,-0.01,-0.04,1.01
2024-08-15T13:03:01.777124,-0.01,-0.04,1.01
2024-08-15T13:03:06.779266,-0.01,-0.04,1.01
2024-08-15T13:03:11.781474,-0.01,-0.04,1.01
2024-08-15T13:03:16.783432,-0.01,-0.04,1.01
2024-08-15T13:03:21.786669,-0.01,-0.04,1.01
2024-08-15T13:03:26.788599,-0.01,-0.04,1.01
2024-08-15T13:03:31.789798,-0.01,-0.04,1.01
2024-08-15T13:03:36.793043,-0.01,-0.04,1.01
2024-08-15T13:03:41.790024,-0.01,-0.04,1.01
